,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
19451018,0.04,0.48,0.18,0.05,0.21,0.19,0.26,0.54,-0.42,1.1
19451019,-0.22,-0.69,-0.88,-0.67,-0.88,-0.42,-0.93,-1.54,-1.89,-2.09
19451020,0.48,0.25,-0.05,0.21,0.42,0.14,0.07,0.43,0.29,1.2
19451022,0.3,0.21,0.38,0.66,0.74,0.73,0.67,0.6,0.68,1.15
19451023,-0.72,-0.75,-0.68,-1.05,-0.87,0.2,-0.93,-0.8,-0.83,-1.56
19451024,-0.88,-1.23,-1.01,-1.45,-1.33,-0.8,-1.63,-1.68,-1.65,-1.46
19451025,-0.01,0.67,0.54,0.35,0.47,0.79,0.56,1.09,1.07,1.36
19451026,-0.29,0.68,0.4,0.57,0.11,0.84,0.39,1.07,1.12,1.63
19451029,-0.36,-0.43,-0.66,-1.15,-0.3,-0.87,-0.76,-1.1,-1.49,-1.41
19451030,-0.22,-0.21,0.11,-0.11,-0.18,0.02,-0.23,-0.12,0.36,1.06
19451031,0.8,1.25,0.64,1.12,1.84,1.71,1.66,2.52,2.25,3.97
19451101,1.46,1.03,1.1,1.42,1.44,0.83,1.32,1.73,1.9,1.75
19451102,-0.22,0.13,0.38,0.19,0.14,0.39,-0.04,-0.32,0.33,0.07
19451103,0.27,-0.02,0.1,0.04,0.44,0.03,0.15,0.31,0.16,0.75
19451105,0.96,0.29,0.41,0.6,0.4,0.9,0.46,1.12,1.46,0.42
19451107,1.51,1.02,1.15,0.65,0.93,1.3,1.52,1.69,0.82,1.56
19451108,0.14,0.08,-0.23,0.1,-0.47,-0.08,-0.2,-0.47,-0.46,-0.67
19451109,-0.49,0.28,-0.09,0.07,-0.14,-0.23,-0.01,-0.01,0.24,1.52
19451110,0,-0.11,0.07,0.02,-0.35,0.15,0.34,0.12,0.07,0.96
19451113,-0.09,0.09,-0.3,-0.11,-0.76,-0.73,-0.36,-1.17,-1,-0.68
19451114,-0.74,-0.26,-0.1,-0.08,-0.76,0.1,-0.3,-0.32,-0.3,-0.26
19451115,0.57,0.62,0.9,0.53,0.67,0.74,1.14,0.75,1.58,0.1
19451116,0.58,0.7,0.58,0.64,0.89,0.83,0.67,0.88,0.9,1.25
19451117,0.13,-0.05,0.16,0.14,-0.08,0.19,0.27,0.1,-0.1,0.58
19451119,0.39,-0.33,0.06,0,-0.03,-0.22,0.18,-0.19,-0.39,-0.78
19451120,0.89,0.32,0.25,0.63,1.02,0.53,0.33,0.61,0.73,0.14
19451121,-0.8,-1.18,-0.97,-1.18,-0.66,-1.32,-1.07,-1.57,-1.12,-1.74
19451123,-0.99,-0.93,-1.28,-1.05,-0.66,-0.84,-0.54,-1.03,-0.69,-1.45
19451124,-0.79,-0.68,-0.78,-0.33,-0.73,-0.72,-0.75,-0.48,-0.7,-0.67
19451126,1.8,1.04,1.12,0.66,1.36,0.83,1.33,1.75,1.96,2.51
19451127,1.76,1.17,1.3,1.16,1.46,1.07,1.19,1.11,1.69,1.25
19451128,-0.34,-0.16,-0.24,-0.03,0.28,-0.46,-0.05,-0.08,-0.05,-0.41
19451129,0.32,0.01,-0.24,-0.18,0.8,0.05,0.79,0.03,0.92,0.3
19451130,0.96,0.88,1.07,0.77,0.54,0.98,1.13,1.83,2.22,1.7
19451201,0.51,0.27,0.66,0.42,0.76,0.46,0.92,0.88,1.36,1.38
19451203,0.51,0.97,0.44,0.52,1.14,1.3,1.36,1.52,1.26,1.19
19451204,-0.12,-0.32,0.08,-0.24,0.24,0.05,-0.38,-0.55,0.69,0.08
19451205,-0.07,0.06,-0.07,-0.02,0.21,0.42,0.81,0.1,0.44,-0.22
19451206,0.94,0.87,0.27,0.57,0.84,1.11,0.79,1.06,0.63,0.59
19451207,0.36,0.33,-0.19,0.53,-0.22,0.8,0.92,0.91,0.23,-0.03
19451208,0.54,0.18,0.49,0.53,0.5,0.77,0.41,0.6,0.36,1.27
19451210,0.62,0.19,0.33,0.26,0.04,0.63,0.28,0.01,0.12,0.28
19451211,0.01,0.03,0.03,-0.47,-0.49,-0.68,-0.31,-0.32,-0.38,-0.52
19451212,-1.28,-1.11,-1.07,-1.33,-1.41,-2.17,-1.93,-2.34,-2,-2.56
19451213,-0.2,-0.37,-0.28,-0.32,-0.54,-0.64,-0.51,-0.44,-0.68,-0.34
19451214,-0.17,-0.09,0.01,0.25,0.22,0.41,0.44,1.02,0.55,1.9
19451215,0.61,0.08,0.37,0.21,0.52,0.3,0.53,0.59,0.58,0.83
19451217,-2.14,-1.68,-1.9,-2.57,-2.79,-3.49,-2.71,-3.97,-4.45,-5.29
19451218,0.22,0.56,0.38,0.98,0.64,0.81,0.71,0.86,2.07,2.24
19451219,-0.05,-0.01,-0.11,0.65,-0.19,0.05,0.69,0.33,0.7,0.69
19451220,-0.65,-0.41,-0.31,-0.66,-0.83,-0.69,-0.61,-0.95,-0.66,-0.66
19451221,-0.07,-0.14,-0.03,-0.17,-0.04,-0.12,-0.22,-0.13,-0.19,0.44
19451222,1.25,0.92,0.61,0.79,0.85,1.38,0.62,1.83,1.76,2.18
19451226,2.1,0.7,0.97,0.93,1.23,1.13,1.14,1.54,1.4,1.54
19451227,-0.41,-0.65,-0.41,-0.52,-0.71,-0.59,-0.76,-0.97,-0.86,-1.22
19451228,-0.09,-0.08,0.13,0.05,-0.33,0.34,0.2,0.21,0.27,1.2
19451229,0.35,0.31,0.12,0.31,-0.23,0.19,0.41,0.11,0.16,0.95
19451231,-0.1,0.22,-0.09,-0.09,-0.25,-0.16,-0.67,-0.09,-0.32,-0.03
19460102,-0.56,-0.31,-0.38,-0.44,-0.38,-0.49,-0.34,-0.84,-1.15,-1.47
19460103,-0.41,-0.18,-0.26,-0.37,-0.35,0.24,-0.43,-0.61,-0.79,-0.17
19460104,0.04,-0.22,-0.3,-0.08,-0.27,-0.19,0.24,-0.32,0.43,-0.71
19460105,0.1,0.26,0.53,0.4,0.44,0.32,0.47,0.41,0.27,1.02
19460107,0.27,0.02,-0.04,0.11,0.13,0.25,0.12,-0.02,0.38,0.04
19460108,0.92,1.54,2.67,1.46,2.75,2.54,2.66,3.42,3.2,3.44
19460109,1.26,1.18,1.23,1.69,1.46,1.42,2.23,2.21,1.6,1.91
19460110,0.41,0.56,0.47,0.76,0.54,0.98,1.04,0.98,0.38,0.95
19460111,0.38,0.28,0.09,-0.03,0.39,0.31,0.58,0.13,0.77,0.72
19460112,-0.49,-0.26,-0.36,-0.22,-0.65,-0.92,-0.95,-0.82,-0.75,-0.6
19460114,1.03,0.85,1.31,1.86,1.83,2.31,1.97,2.13,1.78,1.46
19460115,0.25,0.15,0.31,-0.11,0.5,0.03,0.64,0.1,-0.03,-0.39
19460116,0.11,0.2,-0.06,0.24,0.25,0.04,0.78,0.2,0.02,-0.16
19460117,-0.11,-0.21,-0.32,-0.36,-0.06,-0.36,-0.16,-0.33,-0.57,-0.3
19460118,-0.31,-0.35,-0.21,-0.07,-0.19,0.11,-0.36,-0.21,0.45,0.25
19460119,-0.53,-0.9,-0.61,-0.77,-1.09,-1.09,-1.32,-1,-0.74,-0.3
19460121,-1.59,-1.71,-1.43,-1.56,-1.61,-1.43,-2.72,-2.46,-2.24,-2.47
19460122,0.61,0.4,0.17,0.52,0.49,0.37,1.31,1.43,0.72,2.12
19460123,0.63,0.48,0.65,1.25,1.66,1.27,2.06,1.56,2.74,2.19
19460124,0.21,0.09,0.4,0.73,0.75,0.35,0.19,0.57,0.61,1.32
19460125,-0.12,0.15,-0.32,-0.28,-0.53,-0.34,0,-0.15,-0.21,0.16
19460126,-0.04,-0.05,0.05,0.47,0.02,0.27,0.21,0.39,0.33,0.47
19460128,1.99,2.18,1.92,2.51,2.65,2.32,3.01,2.78,2.74,1.98
19460129,0.31,0.53,0.17,-0.04,0.36,-0.01,0.41,0.16,-0.02,-0.98
19460130,-0.26,-0.4,0,-0.22,-0.48,-0.25,-1.29,-1.04,-0.96,-1.58
19460131,-0.21,0.18,-0.3,-0.47,-0.17,-0.58,-0.6,-0.29,-0.77,-0.17
19460201,0.94,0.11,0.28,0.43,0.52,0.88,0.9,1.01,0.77,1.34
19460202,0.67,0.39,0.49,0.25,0.68,0.75,0.67,0.73,0.99,0.28
19460204,-0.69,-0.43,-0.44,-0.03,-0.27,-0.41,-1.09,-0.63,-1.16,-1
19460205,0.28,0.13,0.29,0.36,0.4,1.19,0.89,0.46,0.44,0.48
19460206,-0.35,-0.58,-0.52,-0.19,-0.86,-0.72,-0.86,-1.08,-1.35,-1
19460207,-0.07,0,-0.29,0.35,0.17,0.2,-0.17,-0.21,-0.06,-0.56
19460208,-0.14,-0.19,-0.33,-0.4,-0.23,-0.25,-0.76,-0.29,-0.72,-0.69
19460209,-0.7,-0.6,-0.34,-0.81,-0.75,-1.18,-1.46,-0.87,-1.21,-2.14
19460211,-0.55,-0.49,-0.06,-0.64,-0.78,-1.13,-0.74,-0.73,-0.82,-0.7
19460213,-0.9,-1.35,-1.19,-1.14,-1.02,-1.04,-1.28,-1.39,-1.74,-1.2
19460214,0.54,0.08,0.56,0.54,1.06,0.75,1.17,2.12,1.86,2.02
19460215,1.75,1.06,1.57,1.41,2.14,2.57,2.61,2.69,2.83,3.63
19460216,1.07,0.81,1.11,0.74,1.07,1.11,1.12,1.24,1.04,0.66
19460218,-0.98,-0.78,-1.35,-1.44,-2.13,-1.52,-2.16,-2.33,-2.03,-2.59
19460219,-2.87,-2.26,-3.09,-2.98,-4.05,-4.37,-4.28,-4.14,-4.26,-4.91
19460220,-1.65,-1.49,-2.2,-1.81,-1.75,-1.13,-2.18,-1.5,-1.69,-1.4
19460221,1.54,1.31,2.36,1.88,2.63,2.08,2.64,2.74,2.5,3.77
19460225,-3.41,-3.87,-3.36,-4.57,-5.6,-5.16,-5.98,-5.93,-6.51,-6.99
19460226,-0.42,-0.49,-0.94,-1.03,-0.3,-0.26,-0.45,-0.21,-0.25,0.02
19460227,1.69,1.42,1.61,2.77,3.06,2.01,2.27,2.67,2.96,3.73
19460228,0.57,0.61,0.91,0.12,0.38,0.65,0.53,0.52,0.56,0.38
19460301,-0.15,-0.43,0.1,0,0.06,-0.31,-0.46,-0.17,0.01,-0.25
19460302,-0.4,-0.45,-0.43,-0.63,-0.63,-0.36,-0.92,-1.3,-0.96,-1.59
19460304,0.03,-0.29,0.03,-0.13,-0.33,-0.07,0.15,0.37,-0.36,0.65
19460305,1.17,0.89,1.48,1.08,1.42,1.35,1.54,1,1.96,1.12
19460306,-0.39,-0.01,-0.48,-0.42,-0.25,-0.28,-0.34,-0.65,-0.81,-0.79
19460307,0.3,0.75,0.96,0.7,0.63,0.56,1.55,1.01,1.26,1.99
19460308,0.73,0.89,0.65,0.56,0.88,0.84,0.75,0.69,0.71,0.42
19460309,-0.02,0.31,0.15,0.33,0.32,0.47,0.27,0.41,0.62,0.42
19460311,-1.03,-0.5,-0.44,-0.93,-1.01,-1.12,-0.89,-0.97,-1.67,-1.79
19460312,0.25,0.35,0.09,0.12,0.03,0.46,0.05,0.27,1.1,1.15
19460313,-1.28,-1.18,-1.36,-1.64,-1.89,-1.75,-2.02,-2.19,-2.62,-3.94
19460314,0.01,-0.25,0.1,-0.03,0.1,0.1,-0.02,-0.26,-0.19,0.17
19460315,0.86,0.7,1.01,1.22,0.72,1.49,1.51,1.46,1.57,2.85
19460316,1.11,1.06,1.07,0.55,1.09,1.15,1.41,1.04,1.64,1.35
19460318,0.71,0.82,0.28,0.93,1.11,0.7,0.77,0.87,0.86,0.99
19460319,0.03,-0.87,-0.52,-0.16,-0.14,-0.49,0.3,-0.31,-0.81,-0.3
19460320,0.71,0.88,0.86,0.23,0.6,0.89,0.6,0.69,0.72,2.07
19460321,1.04,0.04,0.15,0.64,0.36,1.03,0.85,1.11,1.29,1.25
19460322,0.24,0.17,-0.03,0.1,0.66,0.32,0.13,0.59,0.97,0.72
19460323,0.24,0.52,0.26,0.45,0.28,0.41,0.57,0.7,0.25,0.57
19460325,1.9,1.6,0.98,1.7,1.41,1.87,1.51,1.79,1.61,0.74
19460326,0.26,0.05,0.17,-0.05,0,-0.36,0.41,-0.26,0,-0.64
19460327,-0.67,-0.45,-0.45,-0.6,-0.69,-0.85,-0.5,-0.94,-1.44,-0.46
19460328,0.01,-0.19,0,-0.27,-0.4,-0.37,-0.03,0.1,-0.18,0
19460329,0.84,0.66,0.68,0.69,0.8,0.73,0.45,0.67,1.05,1.15
19460330,0.29,0.14,0.17,0.31,0.47,0.31,0.39,0.21,0.07,0.72
19460401,-0.14,0.01,-0.14,0.07,0.15,-0.29,0.26,-0.53,-0.51,-0.35
19460402,-0.07,0.26,0.1,0.24,0.31,-0.18,0.55,-0.03,0.26,-0.09
19460403,1.29,1.37,1.27,0.96,1.66,1.74,1.31,1.95,2.37,2.11
19460404,1.19,0.97,0.65,1.51,1.27,1.03,0.95,1.35,1.08,1.41
19460405,-0.08,-0.51,0.23,-0.09,-0.25,-0.28,-0.18,0.28,0.29,0.55
19460406,0.32,-0.08,0.42,-0.02,0.19,0.43,0.21,0.74,-0.03,0.2
19460408,0.09,0.17,0.11,0.02,-0.36,-0.24,0.38,0.37,0.05,0.02
19460409,1.55,1.18,0.69,1.13,0.81,1.3,0.78,1.73,0.9,0.81
19460410,0.02,-0.22,-0.1,-0.08,-0.61,0.23,-0.12,-0.61,-0.07,-0.9
19460411,-0.17,-0.17,-0.03,-0.03,-0.2,-0.64,-0.36,-0.85,-0.35,-0.6
19460412,0.22,-0.14,0.11,0.05,-0.47,-0.22,-0.47,0.49,-0.17,-0.46
19460413,-0.79,-0.26,-0.25,-0.36,-0.5,-0.79,-0.58,-0.42,-0.35,-0.93
19460415,-0.19,-0.11,0.25,0.26,-0.08,-0.49,0.39,-0.06,-0.08,-0.47
19460416,1.2,1.36,0.71,1.25,1.25,1.61,1.48,1.4,0.96,2.01
19460417,-0.06,0.16,0.18,0.33,-0.01,-0.1,-0.44,-0.17,0.22,0.19
19460418,0.01,0.04,0.56,0.47,0.45,0.87,0.43,0.34,0.76,0.91
19460420,-0.4,-0.01,0.18,-0.02,0.09,0.43,0.35,-0.25,-0.09,0.54
19460422,-0.19,-0.15,0.39,-0.11,-0.13,-0.63,0.11,-0.09,-0.25,-0.4
19460423,-0.51,0.18,-0.39,-0.28,-0.52,-0.42,-0.6,-0.17,-0.56,0.5
19460424,-1.08,-0.42,-0.88,-0.7,-0.57,-1.05,-0.57,-0.85,-0.77,-0.65
19460425,-0.21,-0.52,-0.71,-0.89,-0.64,-0.37,-0.83,-0.37,-0.09,-0.42
19460426,0.12,-0.1,-0.26,0.2,0.45,0.28,0.93,0.44,0.73,0.58
19460427,0.76,0.58,0.53,0.56,0.37,0.81,1.14,0.47,0.89,0.59
19460429,-0.01,-0.13,0.31,0.22,-0.02,0.37,0.26,-0.02,0.29,0.29
19460430,0.23,0.14,0.69,0.19,0.16,0.71,0.02,0.56,0.04,0.15
19460501,-0.34,0.09,-0.13,-0.19,-0.13,-0.65,-0.67,-0.22,-0.47,0.15
19460502,-0.47,-0.11,-0.48,-0.41,-0.43,-0.54,-0.46,-0.31,-0.26,-0.57
19460503,-0.94,-0.56,-0.73,-0.97,-0.67,-0.88,-0.95,-1.08,-0.75,-0.47
19460504,-0.4,-0.18,-0.36,-0.47,-0.55,-0.52,-0.31,-0.46,-0.8,-0.58
19460506,-0.34,-0.5,-1.07,-0.44,-1.05,-0.75,-0.67,-1.56,-0.85,-0.77
19460507,1.96,0.5,1.72,1.37,1.43,1.9,1.63,2.35,2.25,2.44
19460508,-0.39,-0.14,-0.18,0.17,0.36,-0.2,0.12,0.12,1.09,1.38
19460509,0.18,-0.18,-0.08,0.02,-0.07,0.1,0.36,0.4,0.69,1.48
19460510,1.78,1.32,1.26,1.05,1.44,1.63,1.42,2.18,2.65,1.33
19460511,0.53,0.6,0.44,0.31,0.28,0.57,0.63,0.52,0.42,0.51
19460513,-0.44,0.11,-0.6,-0.35,0.07,0.23,-0.1,-0.14,-0.31,-0.21
19460514,-0.73,-0.22,-0.03,-0.02,-0.08,-0.22,-0.13,-0.34,-0.97,-0.66
19460515,-0.8,-0.82,-0.63,-0.74,-0.47,-0.05,-0.52,-0.38,-0.45,-0.71
19460516,0.8,0.56,0.51,0.59,0.48,0.39,0.34,0.34,0.84,0.65
19460517,0.41,-0.11,-0.07,0.18,-0.34,0.37,-0.11,-0.18,-0.69,-0.19
19460518,-0.4,-0.2,-0.7,-0.38,-0.38,-0.42,-0.52,-0.31,-0.42,-0.77
19460520,1.34,0.69,0.47,1.08,0.6,0.68,0.36,0.71,0.92,0.8
19460521,0.31,0.34,0.22,0.34,0.45,0.36,0.03,0.41,0.37,0.09
19460522,0.81,0.56,0.41,0.38,0.27,0.14,0.59,0.6,0.81,0.92
19460523,-0.2,-0.18,-0.1,0.03,0.09,-0.18,0.01,0.27,0.11,-0.42
19460524,0.05,-0.13,0.5,0.12,0.12,-0.45,0.06,-0.15,0.25,-0.41
19460527,0.96,1.05,0.71,0.63,0.83,1.3,0.82,0.74,0.91,0.66
19460528,1.96,1.22,1.35,0.93,1.07,1.16,0.95,1.37,0.85,0.13
19460529,0.52,0.51,0.56,0.38,0.25,0,-0.16,0.05,-0.45,-1.02
19460531,0.22,0.1,-0.07,-0.22,0.13,0.47,-0.23,-0.69,-0.41,-0.4
19460603,-0.64,-0.57,-0.56,-0.13,-0.74,-0.5,-0.76,-0.65,-0.83,-0.59
19460604,-0.86,-0.2,-0.39,-0.16,-0.75,-0.96,-0.87,-1.02,-0.86,-0.24
19460605,-0.5,-0.59,-0.55,0.1,-0.74,-1.02,-1.03,-0.81,-1.02,-0.86
19460606,0.16,0.11,-0.19,0,0.16,-0.08,-0.21,-0.51,-0.16,0
19460607,-0.11,-0.07,0.35,0.42,-0.25,0.2,0.5,-0.02,0.26,0.08
19460610,0.18,0.52,0.25,0.18,0.08,-0.47,0.66,-0.15,0.17,0.4
19460611,-0.99,-0.69,-0.51,-1.04,-0.59,-0.88,-1.48,-0.86,-0.81,-1.5
19460612,0.56,0.3,-0.05,0,-0.17,-0.38,-0.06,-0.15,-0.34,0.22
19460613,0.38,0.54,0.49,1.03,0.64,1.27,0.08,0.45,0.24,0.56
19460614,-0.25,0.04,0.16,-0.59,-0.2,0.03,-0.17,0.25,0.08,-0.2
19460617,0.35,0.11,0.04,-0.13,0.14,0.53,0.22,-0.37,-0.31,-0.23
19460618,-1.11,-1.19,-1.43,-1.69,-1.41,-1.42,-1.81,-2.37,-2.01,-2.64
19460619,-0.45,-0.35,-0.58,-0.28,-0.72,-1.16,-0.96,-0.88,-1.23,-0.55
19460620,-1.59,-1.37,-1.66,-2.64,-1.93,-2.9,-2.43,-2.23,-2.72,-2.81
19460621,0.91,0.39,0.59,0.74,0.69,0.43,0.96,0.89,1.11,1.56
19460624,0.04,0.06,0.44,0.12,0.85,0.04,0.57,0.45,0.24,1.04
19460625,-0.55,-0.83,-0.35,-0.68,-0.46,-0.88,-0.54,-0.75,-0.98,-0.92
19460626,-0.17,-0.27,-0.07,-0.34,-0.44,-0.38,-0.8,-0.76,-0.59,-0.74
19460627,0.95,1.35,1.4,1.8,2.1,2.06,2.71,3.15,2.14,2.72
19460628,0.19,-0.03,0.09,0.16,0.64,0.3,0.11,0.57,0.6,0.43
19460701,0.6,0.44,0.13,0.92,0.92,1.1,1.3,0.8,1.34,0.31
19460702,-0.38,-0.04,-0.09,-0.08,-0.34,0.05,-0.09,-0.71,-0.35,-0.65
19460703,-0.39,-0.16,-0.01,0.25,-0.16,-0.2,-0.01,-0.19,-0.12,-0.09
19460705,-0.08,-0.26,-0.27,0.23,-0.27,-0.18,-0.42,-0.26,-0.35,-0.38
19460708,-0.33,-0.18,-0.08,-0.01,-0.21,-0.77,-0.24,-0.51,-0.18,-0.46
19460709,0.43,-0.05,0.27,0.3,0.47,0.58,0.35,0.57,0.44,0.61
19460710,-0.09,0.02,0.22,0.23,0.27,0.51,0.36,0.42,0.82,1.35
19460711,-0.57,-0.23,-0.42,-0.54,-0.41,-0.7,-0.41,-0.71,-0.72,-0.46
19460712,-0.39,-0.52,-1.08,-0.83,-0.91,-1.13,-1.06,-1.16,-1.19,-1.23
19460715,-1.72,-0.95,-1.39,-1.63,-1.65,-2.31,-1.96,-1.72,-2.89,-3.04
19460716,-0.37,-0.17,0.16,-0.15,0.03,-0.31,-0.19,-1.36,-0.3,0.12
19460717,0.52,0.34,0.52,0.45,-0.22,0.8,1.14,0.24,1.25,0.72
19460718,-0.35,-0.01,-0.31,-0.15,0.25,0.3,-0.24,0.74,0.02,-0.11
19460719,-0.3,-0.31,-0.36,-0.43,-0.37,-0.46,-0.63,-0.5,-0.64,-0.23
19460722,-0.36,-0.1,-0.19,-0.17,-0.83,-0.27,-0.07,-0.77,-0.6,-1.32
19460723,-3.09,-1.63,-2.69,-2.6,-3.34,-2.47,-4.29,-4.01,-3.64,-4.57
19460724,0.32,-0.21,-0.36,-0.05,0.29,-0.27,0.33,0.08,-0.36,0.37
19460725,0.55,0.26,0.84,0.53,0.64,0.64,0.91,1.26,0.87,1.66
19460726,0.2,0.35,0.7,0.76,0.68,0.68,0.54,0.69,0.69,1.07
19460729,0.33,0.43,-0.04,0.26,0.21,0.4,0.52,0.54,1.18,1.03
19460730,0.6,0.46,0.98,0.38,0.56,0.63,0.69,0.72,1.23,0.67
19460731,2.14,0.37,1.14,0.65,0.74,0.66,1.33,1.31,1.12,2.16
19460801,0.13,0.23,0.36,0.48,0.52,0.79,0.57,0.54,1.32,0.88
19460802,-0.09,-0.17,0.06,0.43,0.24,0.44,0.31,-0.21,-0.2,-0.08
19460805,-1.03,-0.23,-0.19,-0.88,-0.41,-0.17,-0.59,-0.66,-0.3,-0.56
19460806,-0.57,-0.06,-0.31,-0.05,-0.28,-0.48,-0.66,-0.95,-0.52,-0.22
19460807,0.97,0.46,0.38,0.6,0.92,0.93,0.86,1.44,1.27,1.47
19460808,0.48,0.01,0.39,0.63,0.54,0.59,0.6,0.86,0.58,0.96
19460809,-0.56,-0.09,0,-0.23,-0.23,-0.65,-0.12,-0.51,-0.31,0.38
19460812,0.47,0.04,-0.04,-0.41,0.13,0.5,0.01,0.1,0.13,0.48
19460813,0.59,0.32,0.42,0.71,1.11,0.71,0.86,0.88,0.55,0.16
19460814,0,-0.38,-0.19,0.16,0.04,0.02,0.17,0.28,-0.03,-0.45
19460815,-1.35,-0.96,-0.6,-1.03,-0.67,-0.95,-0.96,-0.77,-1.14,-1.46
19460816,-1.13,-0.52,-0.74,-1.06,-0.67,-0.7,-0.45,-0.94,-0.78,-0.96
19460819,-0.22,-0.27,-0.21,-0.36,-0.32,-0.03,-0.4,-0.31,-0.1,-0.7
19460820,0.52,0.27,0.32,0.6,0.8,1.05,0.59,0.51,0.43,1.36
19460821,-1.36,-0.57,-0.37,-1.1,-0.61,-0.55,-0.61,-0.78,-0.53,-0.95
19460822,-1.02,-1.35,-1.71,-2.13,-1.35,-1.35,-1.5,-1.92,-1.43,-1.8
19460823,0.28,0.6,0.45,0.83,0.24,0.64,0.45,0.91,0.35,0.8
19460826,-0.31,-0.5,-0.71,-0.03,-0.57,-0.49,-0.48,-1.09,-1.21,-1.61
19460827,-3.35,-2.73,-3.06,-2.31,-3.22,-3.39,-3.45,-4.07,-4.34,-4.99
19460828,-0.83,-1.69,-1.17,-0.87,-0.45,-1.39,-1.1,-0.91,-0.65,0.13
19460829,0.44,0.9,0.52,-0.27,-0.2,0.25,0.44,0.45,1.28,1.26
19460830,-0.52,-0.79,-0.32,-0.62,-0.41,-0.63,-0.05,-0.44,-0.54,-0.34
19460903,-7.88,-5.9,-5.63,-5.15,-7.34,-6.94,-7.02,-7.33,-8.3,-10.05
19460904,0.32,-1.49,-2.23,-1.24,0.31,-0.56,-1.31,0.41,-0.82,-0.11
19460905,3.98,3.19,3.23,3.83,2.75,2.93,4.03,2.73,4.56,4.6
19460906,-1.18,-0.65,-1.18,-0.7,-1.24,-1.33,-0.9,-1.47,-0.83,-1.36
19460909,-5.67,-4.59,-5.04,-3.78,-4.8,-5.12,-5.39,-6.5,-6.91,-8.35
19460910,-3.02,-2.37,-2.13,-1.78,-2.51,-2.76,-3.18,-2.39,-1.68,-2.64
19460911,2.83,1.97,2.54,2.28,2.82,2.66,4.15,3.18,3.18,4.69
19460912,-0.42,-0.08,0.03,0,0.26,0.3,0.13,0.5,0.44,0.32
19460913,2.04,1.5,1.19,2.13,0.59,1.96,2.58,2.4,2.31,2.66
19460916,0.14,0.28,0.82,0.05,1.08,1.19,0.96,1.42,0.73,0.8
19460917,-1.52,-0.49,-0.6,-0.38,-0.82,-0.6,-0.27,-0.35,-0.74,-1.22
19460918,-4.68,-2.76,-2.82,-2.09,-2.71,-2.69,-3.52,-4.66,-4.05,-4.51
19460919,-3.96,-2.33,-2.69,-1.91,-2.49,-3.24,-3.41,-2.52,-3.62,-3.99
19460920,3.39,1.2,0.95,1.87,2.14,3.08,3.25,2.53,2.75,3.66
19460923,-3.45,-1.31,-1.19,-0.91,-1.09,-2.03,-1.14,-1.24,-1.39,-2.21
19460924,3.03,0.9,0.7,1.39,1.59,1.62,1.75,1.36,2.26,3.56
19460925,3.15,1.9,1.82,1.45,2.88,2.62,2.5,2.97,2.74,2.2
19460926,1.93,0.89,0.97,1.01,0.94,1.12,0.98,0.94,1.12,1.21
19460927,-1.17,-1.94,-0.59,-0.45,-0.18,-0.68,-0.59,-0.34,-0.23,-1.15
19460930,-1.93,-0.86,-1.59,-0.88,-1.54,-0.84,-0.59,-1.47,-0.86,-1.72
19461001,-0.6,-0.54,0.08,-0.52,-0.47,-0.53,-0.2,-0.31,0.14,0.16
19461002,1.61,1.19,0.48,0.63,0.71,1.14,1.16,1.06,0.65,1.43
19461003,-0.73,-0.81,-0.71,-0.49,-0.27,-0.44,-0.37,-0.36,-0.51,-0.32
19461004,-1.97,-1.41,-1.57,-1.11,-0.49,-1.28,-1.11,-0.84,-1.22,-1.34
19461005,-0.66,-1.5,-1.16,-0.77,-0.41,-0.47,-0.17,-0.76,-0.94,-0.56
19461007,-0.55,-1.02,0.23,0.12,-0.82,0.09,-0.08,0.33,-0.09,-0.17
19461008,-1.51,-1.49,-1.49,-1.75,-0.53,-1.22,-1.12,-0.54,-0.73,-1.04
19461009,-5.55,-4.43,-2.12,-2.8,-3.1,-1.58,-2.77,-2.97,-3.2,-4.24
19461010,3.15,1.07,1.86,1.44,1.07,0.47,0.94,1.46,1.64,1.21
19461011,2.38,2.33,2.27,2.16,2.44,1.26,2.01,2.05,1.94,3.09
19461014,0.77,0.32,0.96,1.05,0.98,0.42,1.53,0.89,1.01,1.56
19461015,5.34,5.45,5.21,4.21,3.7,3.09,3.25,3.6,3.84,3.8
19461016,-0.77,-0.74,-0.51,0.59,0.28,-0.44,-0.2,-0.66,0.21,-0.43
19461017,-2.05,-2.9,-1.92,-2.1,-1.71,-1.69,-1.64,-1.08,-1.64,-2.39
19461018,-0.98,-0.85,-0.74,-0.25,-0.04,-0.06,0,0.04,-0.51,-0.54
19461019,-0.29,-0.71,-0.21,0.05,0.1,-0.09,-0.22,-0.24,-0.07,0.27
19461021,0.47,0.29,0.27,0.12,0.08,0.28,0.43,0.07,0.27,0.23
19461022,-1.3,-1.14,-1.53,-0.86,-0.4,-0.05,-0.55,-0.49,-0.74,-0.48
19461023,-1.56,-1.32,-0.75,-1.52,-1.09,-0.77,-0.77,-0.76,-0.77,-1.05
19461024,1.83,0.54,0.64,0.45,-0.26,0.01,-0.27,0.03,-0.1,0.36
19461025,-0.66,-0.61,-0.69,-0.79,-0.81,-0.01,-0.35,-0.59,-0.52,-0.28
